"","Gene","Correlation","P_value","SYMBOL","fdr"
"6197","105370852",0.0124720162446328,0.886699188574043,NA,0.934224695581555
"6198","105370854",0.144649319084915,0.0966774508296165,"LOC105370854",0.203532767776161
"6199","105370855",-0.00123097664578236,0.988780265606684,"LOC105370855",0.995143227490749
"6200","105370861",0.0487592397409737,0.577293299070955,"LOC105370861",0.719787590815468
"6201","105370866",-0.0802860981126945,0.358279436828197,"LOC105370866",0.525275834953602
"6202","105370867",-0.0388101350835904,0.657387781135021,"LOC105370867",0.78289345002594
"6203","105370868",-0.0194226507578691,0.824392112645527,"DIS3L-AS1",0.89724049895601
"6204","105370869",-0.0397941605100614,0.649269782268521,"LOC105370869",0.777182891111415
"6205","105370870",-0.0817381641914013,0.349624083133936,"LOC105370870",0.51653756797027
"6206","105370871",-0.0646997827825704,0.459368711070907,"LOC105370871",0.620173011289833
"6207","105370873",0.060419974796675,0.489658969314194,"LOC105370873",0.646354518137647
"6208","105370876",0.105273604810175,0.227829618469117,"LINC02896",0.382457537844263
"6209","105370877",0.0122925922653612,0.888318506608135,NA,0.935050905940291
"6210","105370878",-0.0824972531539868,0.345152041357414,"LOC105370878",0.511983763566858
"6211","105370884",0.128787792597531,0.139570251603331,"LOC105370884",0.267305410244919
"6212","105370886",0.0132479982822062,0.879701345449275,"LOC105370886",0.932162921371562
"6213","105370887",0.272903378755128,0.001482343194089,"LOC105370887",0.00598424095254048
"6214","105370888",-0.0257690178782546,0.768432028255582,"TMEM202-AS1",0.859847198165505
"6215","105370890",-0.0189431080262074,0.828660500557077,"LOC105370890",0.898729762077474
"6216","105370891",0.0925505185189938,0.289351390936383,"LOC105370891",0.453798941669012
"6217","105370893",-0.125851299072678,0.148898406699667,"LOC105370893",0.280201803310866
"6218","105370894",0.225552797711814,0.00904427645661472,"LINC02255",0.0285130769416675
"6219","105370897",0.0952408513226506,0.275499945976001,"LOC105370897",0.43728642868401
"6220","105370902",-0.00715081141606603,0.934893405059588,"LOC105370902",0.962685641406115
"6221","105370904",0.193331427832677,0.025771345704716,"LOC105370904",0.0695543132426181
"6222","105370906",-0.0662507242535633,0.448653667239637,"LOC105370906",0.610554957765449
"6223","105370910",-0.039291446402567,0.653411998289158,"LOC105370910",0.780157968738003
"6224","105370911",-0.148530375276991,0.0879625694553588,"DNAJA4-DT",0.189119494634112
"6225","105370912",-0.308786753401115,0.000298873554075183,"LOC105370912",0.00147791969558788
"6226","105370913",0.0189633556831887,0.828480175005768,"LOC105370913",0.898660366229972
"6227","105370917",-0.0301059116340112,0.73084706221678,"LOC105370917",0.833572934119696
"6228","105370918",0.107973239911097,0.216059522672641,"LOC105370918",0.368425711465444
"6229","105370919",0.0205281450015936,0.81457189284596,"LOC105370919",0.891145467357398
"6230","105370921",0.0790934811235498,0.365487040729463,"LOC105370921",0.532195358911993
