"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"TMTC2",21.3080085228312,-0.348469004555222,0.614379169589801,-0.567188833547013,0.570585893770277,0.65462324426875,"TMTC2"
"ATXN2",793.521973384863,-0.348506976929172,0.164460730012492,-2.11908932243399,0.0340829189235929,0.0614238380485944,"ATXN2"
"GABRE",23.4929034434802,-0.348722739549867,0.513437305428677,-0.679192446405337,0.497015932753953,0.586726277462654,"GABRE"
"PGRMC1",2655.9896942684,-0.348744880201468,0.219874821861981,-1.58610648207998,0.112715156696074,0.171755122522392,"PGRMC1"
"DHX15",958.216063546188,-0.348773798933679,0.140354203409831,-2.48495442573435,0.0129568021004044,0.0264632482775105,"DHX15"
"ITGB1BP2",5.16532022245873,-0.348888748586863,1.1188109103872,-0.311838886578358,0.755162969365459,0.811566796919369,"ITGB1BP2"
"GPC1",1152.18539815619,-0.348899523806102,0.157551865560721,-2.21450582361803,0.0267940025431193,0.0499043778953679,"GPC1"
"KIN",126.600712027371,-0.348963941100036,0.219169337910801,-1.59221150379192,0.111337189278139,0.170048674400164,"KIN"
"ATP6V1B1",5.25449687225009,-0.34910182837992,1.8047696880709,-0.193432896555943,0.846619954178466,0.886193543474039,"ATP6V1B1"
"ATAT1",48.176918105921,-0.349269692034586,0.348786676214659,-1.00138484596134,0.316640787552591,0.407621285333539,"ATAT1"
"IER3IP1",1349.22059420941,-0.350172718188095,0.21891949567011,-1.5995501776405,0.109698408657493,0.167996657643076,"IER3IP1"
"NARFL",120.708678180397,-0.350347247476475,0.23763521972399,-1.47430691411567,0.140398974420012,0.20681505787123,"NARFL"
"LOC100507462",4.32977103662403,-0.350596550255001,1.02956137989271,-0.34053001317079,0.733457424597687,0.794098561165802,"LOC100507462"
"CDC42SE2",285.099744328872,-0.350774252404614,0.216260877388078,-1.62199588127608,0.104804230025242,0.161752627958291,"CDC42SE2"
"AGPAT6",488.340774386235,-0.350843996121114,0.139251740143647,-2.51949451948819,0.0117523469903663,0.0242294239553427,"AGPAT6"
"AHNAK",820.055699844238,-0.35143457829738,0.312182865423088,-1.12573307897951,0.260278517732147,0.34661345584798,"AHNAK"
"MRPL55",166.407775282923,-0.351450835758564,0.21065975862125,-1.66833399059592,0.0952494439501401,0.149041567420982,"MRPL55"
"FAU",1968.29170383864,-0.351484740525828,0.177342742697499,-1.98195164447959,0.0474846529529099,0.0817849319846625,"FAU"
"KIAA0753",33.4879140935092,-0.351492695460602,0.422313521988488,-0.83230272572277,0.405238092472146,0.498394410416073,"KIAA0753"
"DDAH2",55.8745418722428,-0.351720288668785,0.376373493772213,-0.934498030516599,0.35004705143655,0.44257034540781,"DDAH2"
"PPP1R26",72.2144851092254,-0.3519994019553,0.330022959296604,-1.06659064783109,0.286156725441554,0.374736885560977,"PPP1R26"
"FAHD1",11.6609380200064,-0.352809047277071,0.657479040547609,-0.536608812629554,0.591537855501629,0.673476205108631,"FAHD1"
"CCDC58",150.386179238021,-0.353152412131603,0.217432746663703,-1.62419146862829,0.104334951100959,0.161143111398126,"CCDC58"
"MTPAP",123.579974323399,-0.353309579609355,0.22768548888132,-1.55174394883601,0.120723502327239,0.18178958283801,"MTPAP"
"STK25",1034.14883646431,-0.35364249863188,0.126582654476291,-2.79376744068926,0.00520979301404556,0.011654072364157,"STK25"
"PTPN1",324.434672421107,-0.353773252194711,0.174444678491393,-2.02799681397083,0.042560573175311,0.0744455004207621,"PTPN1"
"SLC12A2",104.733429231594,-0.353941886505741,0.264092414665942,-1.34021981264949,0.180173892138414,0.255137644998718,"SLC12A2"
"KIAA0284",142.274919771563,-0.354324843739133,0.265238498554586,-1.33587260397726,0.181590916845158,0.25679094527687,"KIAA0284"
"PWWP2A",138.309967389778,-0.354769565635775,0.361154574740769,-0.982320564236027,0.32594194663323,0.417363061370168,"PWWP2A"
"SAMD4B",759.644306231517,-0.35487798650367,0.14907824481412,-2.38048138376028,0.0172900346449362,0.0339348782824257,"SAMD4B"
"TAB1",241.580279514619,-0.355310506662448,0.217164392820437,-1.63613611811692,0.101811102547512,0.157755018072832,"TAB1"
"C16orf13",328.429927919837,-0.355325420477777,0.209369043678982,-1.69712491509769,0.0896730467045559,0.1414474796683,"C16orf13"
"CAMK2N2",4.74624677940137,-0.355531409479677,0.96560246462201,-0.368196460247077,0.712726749546634,0.776223547139792,"CAMK2N2"
"METTL3",362.062836493815,-0.35553915006146,0.154414752466339,-2.30249470586668,0.0213072896388062,0.0408522977023397,"METTL3"
"NRARP",4.31642292917507,-0.355646236674896,1.10156270280089,-0.322856098677463,0.746804225421606,0.805002608613421,"NRARP"
"NR4A1",43.7269208239883,-0.35570833441093,0.523455213357557,-0.679539195205141,0.496796281674829,0.586522291238848,"NR4A1"
"C9orf123",246.689099139456,-0.356003614569864,0.325708189488048,-1.09301401088328,0.274387648156288,0.361746664520317,"C9orf123"
"ARFGAP2",235.038584518632,-0.356022040826367,0.171410360040027,-2.0770158859898,0.0378000930335668,0.0671846605983514,"ARFGAP2"
"PSMB5",1313.00084480144,-0.356022539062153,0.158480624565852,-2.24647359913842,0.0246736887396716,0.0463900924666881,"PSMB5"
"GALNT10",1641.75788720042,-0.356023262419752,0.307419933963912,-1.15810077059461,0.246822915580593,0.330912419110835,"GALNT10"
"KIAA0020",490.515319862054,-0.356299069872383,0.196486385369548,-1.8133524579948,0.0697774772181341,0.114253893392873,"KIAA0020"
"SPTY2D1",234.599266077079,-0.356363171529332,0.265375586353092,-1.34286343527915,0.179316198149539,0.254233747681727,"SPTY2D1"
"KCNJ8",74.1560029111794,-0.356416818550679,0.418617296933038,-0.851414456980002,0.394539163729927,0.487029058026345,"KCNJ8"
"EED",133.509280600845,-0.356861695001276,0.231747557135778,-1.53987252082314,0.123591430170099,0.185509364626162,"EED"
"NUDCD3",1217.35551597355,-0.35691116346542,0.130832088769654,-2.72800936545319,0.0063717798948343,0.0139541533806046,"NUDCD3"
"RUNDC1",194.706374918925,-0.356998682112393,0.17795620424625,-2.00610416267583,0.0448451358370397,0.0779465996123387,"RUNDC1"
"CPM",28.0970254317632,-0.357011543200107,1.11167653621667,-0.321146962780298,0.74809902247179,0.80612064761142,"CPM"
"FNDC3A",717.627784487724,-0.357155691936076,0.222492233134949,-1.60525015594341,0.108438763587691,0.16643409055796,"FNDC3A"
"FUZ",68.4129974774357,-0.357646555011407,0.323802668377597,-1.10452009800717,0.269367590187158,0.356668446579526,"FUZ"
"STK11IP",62.2836852419624,-0.357729456990699,0.32490016989812,-1.10104422876379,0.270877408160238,0.358195970095906,"STK11IP"
"EPB41L2",479.640767732623,-0.358042497054943,0.211636214468374,-1.69178275067119,0.0906874036603844,0.142885452362579,"EPB41L2"
"SCLT1",22.5326263681608,-0.358225502590664,0.461889144704009,-0.77556597009922,0.438005299660207,0.530933508390284,"SCLT1"
"IARS2",963.467461652878,-0.358241340832012,0.139836453106287,-2.56185946421081,0.010411343812638,0.0217142955425863,"IARS2"
"C3orf70",32.3665748895426,-0.3583149252461,0.830521201766597,-0.431433808654048,0.666152971588202,0.739198909524078,"C3orf70"
"PAPD7",125.6274566031,-0.359415492320146,0.233360467986472,-1.54017300111423,0.123518189141412,0.185440236468241,"PAPD7"
"DNAJC30",274.766158180202,-0.3597372145608,0.215146560817766,-1.67205654226332,0.0945131729844767,0.148093115461219,"DNAJC30"
"C7orf25",147.837928053844,-0.360294013594222,0.242155243957137,-1.48786376750113,0.136786824651975,0.20235139104153,"C7orf25"
"NOL10",573.056721676044,-0.360941105519088,0.145534869703662,-2.48010051648815,0.0131345350397188,0.0267476996302587,"NOL10"
"ENPP1",202.842314928959,-0.361147511177838,0.275798684947014,-1.30946059894093,0.190378375950884,0.267349844082697,"ENPP1"
"RASIP1",30.5940221356307,-0.361332116063008,2.07975887219549,-0.173737504329802,0.862071761537502,0.898311355275655,"RASIP1"
