"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","gene"
"EHD2",4932.80617475314,-0.212920218811235,0.118905470342488,-1.79066798354989,0.0733465903983989,0.39750452653773,0.400657921500177,"EHD2"
"EHD3",443.439604536704,0.370356121185793,0.203443349925179,1.82043857084539,0.0686922431022279,0.385372024579728,0.414119815398342,"EHD3"
"EHD4",297.519595239696,0.318923595279637,0.175544896908907,1.81676369347912,0.0692533042784419,0.386521226913725,0.412826650572674,"EHD4"
"EHHADH",74.2524943970533,-0.0965030218868435,0.217625721121868,-0.443435736315391,0.657450592217597,0.91751014491222,0.0373891250540329,"EHHADH"
"EHMT1",224.078238692455,-0.0665903523679725,0.195840556289314,-0.340023300738582,0.733838980809503,0.938204174335347,0.0277026390857548,"EHMT1"
"EHMT2",312.372392215041,0.128087786631223,0.154885672747889,0.826982795495324,0.408246812994636,0.807555067769921,0.0928278531291484,"EHMT2"
"EI24",892.206923778535,0.248128002462262,0.218877709680019,1.13363760441849,0.256946592393804,0.69433457840492,0.158431206000095,"EI24"
"EID1",2111.28256283911,-0.086376789216848,0.194355558998139,-0.444426645999228,0.656734152179128,0.91751014491222,0.0373891250540329,"EID1"
"EID2",271.513354075228,0.38788729693177,0.224791903814605,1.72553944492448,0.0844303015893737,0.425485612397347,0.371115120801681,"EID2"
"EID2B",13.0399806816159,0.0932700752867286,0.497949461895296,0.187308316253067,0.851418902956122,0.971625728872699,0.0125009934969052,"EID2B"
"EID3",43.6418680749555,-0.655166909873359,0.272391551059463,-2.40523946989213,0.0161618712747945,0.168472839674715,0.773470103873701,"EID3"
"EIF1",6792.04961526124,-0.0236064926934727,0.175150726659988,-0.134778160180282,0.89278727391415,0.977663196410353,0.00981073328276102,"EIF1"
"EIF1AD",125.577758855308,0.237252273222384,0.209548315836466,1.13220796967674,0.257547010295787,0.695118335414864,0.157941255779706,"EIF1AD"
"EIF1AX",1548.7976678214,0.169084880965271,0.198317478954045,0.852596966525841,0.393882845381885,0.801126892404773,0.0962986895255491,"EIF1AX"
"EIF1AY",176.844460411621,0.0612919553738753,0.355741504762578,0.172293518055425,0.863206779996989,0.975033925657752,0.0109802730505619,"EIF1AY"
"EIF1B",703.151308834167,-0.0973203502065347,0.194409659488436,-0.500594211535687,0.616656737068385,0.90112302410089,0.0452159137480548,"EIF1B"
"EIF2A",337.273727033499,-0.112178515462818,0.169917097703633,-0.660195571716264,0.509128333673389,0.859054900259834,0.0659790805016887,"EIF2A"
"EIF2AK1",1572.56226761797,0.309394645310428,0.169436373596385,1.82602258737807,0.0678468595774966,0.383010377078683,0.416789459329136,"EIF2AK1"
"EIF2AK2",699.842110618018,-0.0692858639711421,0.161541168109299,-0.4289053049577,0.667992139430813,0.919781670903804,0.0363152491484238,"EIF2AK2"
"EIF2AK3",104.298202307432,0.0539582993058885,0.218989292656036,0.24639697517376,0.805374947537913,0.957568035568062,0.0188303594772735,"EIF2AK3"
"EIF2AK4",533.810876266864,0.00671176260486076,0.190608001791346,0.0352123863729916,0.971910385459628,0.99442142937293,0.0024295253980527,"EIF2AK4"
"EIF2B1",329.461080251824,0.239756947258195,0.171595444348301,1.39722210090579,0.162346792643475,0.579895215792386,0.236650474220465,"EIF2B1"
"EIF2B2",359.49072921288,0.324928175698949,0.164233517409546,1.97845227225257,0.0478777077785445,0.320276444353464,0.494475001590626,"EIF2B2"
"EIF2B3",89.7465914749655,0.145594524294802,0.279848099130126,0.520262688034562,0.602880497973814,0.898555420113022,0.0464551317914938,"EIF2B3"
"EIF2B4",331.791133862071,0.120861960600343,0.148043736541782,0.8163936105884,0.41427504981473,0.808998004532245,0.0920525496135663,"EIF2B4"
"EIF2B5",189.859680038166,0.154190744686035,0.239112937272774,0.64484484379922,0.519027738064656,0.862928864680729,0.0640250037632942,"EIF2B5"
"EIF2C1",318.419681297908,-0.0817007029869639,0.260958647989693,-0.313079116620005,0.754220554643515,0.942347544724081,0.0257888966559906,"EIF2C1"
"EIF2C2",745.769694523122,0.229923094352329,0.148745876643884,1.54574432273369,0.122166328336678,0.506905379290246,0.295073100010225,"EIF2C2"
"EIF2C3",256.495180439717,-0.0755048119979629,0.165138005562708,-0.457222501511266,0.647511126542285,0.915204771983715,0.0384817240834024,"EIF2C3"
"EIF2C4",114.47320875459,0.132444408587566,0.280613275085764,0.471981977855778,0.636939652453325,0.911087248754114,0.0404400315472092,"EIF2C4"
"EIF2D",128.7486558494,-0.101372226331478,0.184049032775011,-0.550789236993166,0.581778163151867,0.892061313178593,0.0496052946597371,"EIF2D"
"EIF2S1",425.665925931667,0.107268045946007,0.274834894866417,0.390299950805535,0.696314759670685,0.928174791483376,0.0323702308624038,"EIF2S1"
"EIF2S2",780.414350967473,-0.305166386869224,0.339197185269136,-0.899672521241856,0.368294550909365,0.785761272379824,0.104709379960729,"EIF2S2"
"EIF2S3",1807.75943324034,0.0114630898566918,0.26120738957059,0.0438850136496387,0.964996061167223,0.993441108584567,0.00285787286702081,"EIF2S3"
"EIF3A",1872.79425108474,-0.266882117592944,0.254686325641618,-1.04788553889025,0.294691345698005,0.731068070555871,0.136042183520326,"EIF3A"
"EIF3B",894.425820635501,-0.0711648269701833,0.212035117047221,-0.335627550573778,0.737151745608889,0.938992731306879,0.0273377695715155,"EIF3B"
"EIF3C",2671.60103807322,0.108731193667786,0.195544789159774,0.556042398956203,0.578181870521692,0.891366656762789,0.0499436155435004,"EIF3C"
"EIF3D",1683.59001641224,0.0725953889970977,0.217166449899306,0.334284550080172,0.73816484778788,0.939455493799947,0.0271237895442239,"EIF3D"
"EIF3E",2146.58501660475,-0.133592896400765,0.161473528561147,-0.827336205452249,0.408046528073137,0.807528169748749,0.0928423188382817,"EIF3E"
"EIF3F",3829.51356270736,-0.176735618750245,0.210339117295818,-0.840241325638377,0.400773091937466,0.802944377345059,0.0953145387173283,"EIF3F"
"EIF3G",867.405794941368,-0.0449765289791175,0.195268079968909,-0.230332212957073,0.817833631122445,0.961432036438166,0.017081410586291,"EIF3G"
"EIF3H",1325.85791175567,-0.431898563980914,0.229980663787982,-1.87797772589733,0.0603842122538839,0.360924429606815,0.442583721198006,"EIF3H"
"EIF3I",141.021864418205,-0.13037625863451,0.229037928972592,-0.569234358777806,0.569197106479873,0.886899952488312,0.0521253683676807,"EIF3I"
"EIF3J",416.949622114514,0.0622644114720614,0.298021658080173,0.208925793759966,0.834506167965557,0.966011681168703,0.0150176219939918,"EIF3J"
"EIF3K",1543.68058501349,-0.0274098407051318,0.182521678817569,-0.150173069208552,0.880628072581374,0.976637558724814,0.0102665779903738,"EIF3K"
"EIF3L",2372.01598592411,-0.120501492458485,0.151905583963845,-0.793265720153945,0.427623024558185,0.81814831713243,0.0871679585862756,"EIF3L"
"EIF3M",807.75193388489,-0.201352426820698,0.233962708075972,-0.860617610714759,0.389448683358075,0.79836032217198,0.0978010552501945,"EIF3M"
"EIF4A1",10359.009225144,0.138269561814083,0.175145414098583,0.789455793208813,0.429845657520429,0.818993431895373,0.086719581149269,"EIF4A1"
"EIF4A2",3387.96162058445,-0.167393286529476,0.124491998003013,-1.34461081205738,0.178750949919688,0.60190285215494,0.220473598738315,"EIF4A2"
