"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ZSWIM1",10.684469924492,-0.921471395362007,0.731546799272881,-1.2596205687427,0.207806271878307,0.335246869618155,"ZSWIM1"
"C4orf27",128.007256532888,-0.92362808046987,0.308044804202636,-2.99835630359243,0.00271440126349712,0.010246420712386,"C4orf27"
"MUTYH",22.0398132478831,-0.924241783410052,0.56144892533649,-1.64617250421511,0.0997282484465583,0.192027188747576,"MUTYH"
"IGF2BP3",163.078899364469,-0.924700248790274,0.243212370690399,-3.80202802252763,0.000143516489890991,0.00080342645487718,"IGF2BP3"
"HSD17B7",29.8460998231692,-0.925394451290871,0.433838184573694,-2.133040576408,0.0329213977469655,0.0797795414945081,"HSD17B7"
"DUSP10",264.286736305357,-0.9256085134212,0.223343932273648,-4.14431905088479,3.40824953250218e-05,0.000226224345277119,"DUSP10"
"TMEM251",29.761577055673,-0.926567157474572,0.419060312113575,-2.21105919766377,0.0270317379699755,0.0683930993973203,"TMEM251"
"HOXA9",71.1528388975092,-0.92785663712474,0.295519943110682,-3.1397428794754,0.00169096177737869,0.00685841991585584,"HOXA9"
"TRIM6",37.4766816494359,-0.928163962167336,0.439514184706922,-2.11179523770378,0.0347040159541162,0.0833356038739241,"TRIM6"
"NUCKS1",2810.17531632682,-0.929058145859372,0.187538070490411,-4.95397091070569,7.27140815497161e-07,6.99101824960187e-06,"NUCKS1"
"NT5C",476.603675332886,-0.929093794099708,0.226297700779683,-4.10562630949682,4.03220880454942e-05,0.000264049339208135,"NT5C"
"DNASE1L2",5.47980978731369,-0.93020543960668,1.01258787207304,-0.918641695463227,0.358283015437095,0.50370773777691,"DNASE1L2"
"GFER",183.037043522218,-0.930312881062588,0.237356858029253,-3.91946914357929,8.87442216193327e-05,0.000525795012404739,"GFER"
"CSNK1G2",665.200728514078,-0.930577468571446,0.317702548443662,-2.92908405403133,0.00339962476919467,0.0124371974476361,"CSNK1G2"
"LINC00327",14.9477597759478,-0.93077529088695,0.584103894655915,-1.59350981803546,0.111045867571102,0.2080909477103,"LINC00327"
"TKT",1988.33705632737,-0.930949395155104,0.192659853526815,-4.83208814972723,1.35108404856581e-06,1.2389167384645e-05,"TKT"
"ANKRD23",24.9975211505805,-0.930997949687354,0.511180077842458,-1.82127197448074,0.0685655243814146,0.143436483978724,"ANKRD23"
"VBP1",1036.0832386179,-0.931116212675146,0.168994931276969,-5.50972863883782,3.59387304369379e-08,4.3479354430427e-07,"VBP1"
"GULP1",381.472437113141,-0.93113518467158,0.231025997270611,-4.03043465095791,5.5673806260382e-05,0.000349261628892985,"GULP1"
"PTPN18",178.132493661274,-0.931188473178597,0.295993344279477,-3.14597774299739,0.00165532602096484,0.00673325081155923,"PTPN18"
"UBTD1",321.760856035705,-0.931224903286118,0.300277952835417,-3.10120971084589,0.0019273174170218,0.00766758161110459,"UBTD1"
"MRPL55",151.13699106411,-0.931455423407128,0.261456776712251,-3.56255988129255,0.000367256101328246,0.00182993607458059,"MRPL55"
"CCDC124",1911.21327689154,-0.932320419348848,0.285535584898536,-3.26516367366311,0.00109400840543412,0.00474831076380453,"CCDC124"
"EPHB4",439.733713222781,-0.932626734383392,0.25274014211172,-3.69006176300692,0.000224199611671111,0.00118584619585743,"EPHB4"
"SNRNP25",82.6819746775936,-0.932811610621304,0.290865956634764,-3.20701542873448,0.00134119802460977,0.00563360639151391,"SNRNP25"
"PIGQ",297.070884362872,-0.933338605711369,0.255254994351719,-3.65649498095739,0.00025568741518246,0.00132988892872156,"PIGQ"
"DUT",365.738750140298,-0.933547470315232,0.206880053673066,-4.51250593636507,6.40661409913721e-06,5.05121701814866e-05,"DUT"
"UBR7",253.91269449154,-0.933655917977417,0.212036478916043,-4.40327967503698,1.06626565136292e-05,8.00235208837778e-05,"UBR7"
"TCHP",399.08883945703,-0.933795913287005,0.301727183338704,-3.09483521820695,0.00196922267842343,0.00780249922318817,"TCHP"
"TIGD5",114.013607449251,-0.934071734032588,0.308083251971233,-3.03188092197821,0.00243035057905703,0.00934937229427488,"TIGD5"
"ACAD9",339.547533769639,-0.934105879115998,0.229963271218845,-4.06197856799078,4.86585452791106e-05,0.000311096019212692,"ACAD9"
"C19orf24",352.285107649066,-0.934404836989214,0.255245752149364,-3.66080465246066,0.000251424403174069,0.00130971030577463,"C19orf24"
"CCDC97",348.680868061771,-0.934683853694405,0.264998899615144,-3.52712352787819,0.000420100717577822,0.00205769903773838,"CCDC97"
"GNB1L",23.1673714034895,-0.934695121044838,0.538852593388558,-1.73460262140901,0.0828112148599466,0.166120698003799,"GNB1L"
"TEAD4",428.681751994032,-0.934755397788536,0.218257461720279,-4.28281072464102,1.84547150667924e-05,0.000130260727982571,"TEAD4"
"PPAN",496.256925551684,-0.935055749201953,0.237417897532147,-3.93843833561598,8.20136652623027e-05,0.000489003109006927,"PPAN"
"GNA12",1941.98913115803,-0.935101018803642,0.28791665032203,-3.24781848412639,0.00116293433596692,0.0049995933799987,"GNA12"
"KIAA1549",110.613340327485,-0.935540365876351,0.289176254283776,-3.23519082918296,0.00121561455941962,0.00519439877898802,"KIAA1549"
"ADPRHL2",249.988975996175,-0.935675019834011,0.283103462264823,-3.30506385315329,0.000949547642358592,0.00419592936252538,"ADPRHL2"
"TSR3",1086.65288974565,-0.936068437739383,0.288056241293948,-3.24960304117893,0.00115566202135781,0.00497507011975982,"TSR3"
"KIF18A",145.028642365784,-0.936689324622473,0.390986050338645,-2.39571034263544,0.0165881933865682,0.0463702119535105,"KIF18A"
"CENPO",197.154091588219,-0.936751771245489,0.25438514206053,-3.68241542590798,0.000231034525259152,0.00121727604018056,"CENPO"
"SLC12A7",67.5813508559115,-0.937308715713004,0.372248095012519,-2.5179677969379,0.0118034112297293,0.0351388909022976,"SLC12A7"
"BCCIP",1002.95611138021,-0.937806773081049,0.185103906961228,-5.0663802211235,4.05451673333973e-07,4.10989391875516e-06,"BCCIP"
"TBPL1",223.34213271743,-0.93805278723101,0.29120401613002,-3.22129069405477,0.00127614637639703,0.00539492793566112,"TBPL1"
"CTHRC1",209.097395841549,-0.938619310870534,0.327474228851762,-2.86623870880362,0.00415380901214242,0.0146964009403679,"CTHRC1"
"KRTAP4-12",12.2220259753323,-0.938997562009277,0.749776623510402,-1.25236974929007,0.210435163926991,0.338354575623647,"KRTAP4-12"
"RTTN",54.4404318557486,-0.93912400799734,0.341134383599961,-2.7529444498876,0.00590619169274056,0.0197771711800977,"RTTN"
"AKAP1",85.4246683846429,-0.93952038665009,0.279460360898971,-3.36190930129708,0.000774055440067887,0.00352603646442985,"AKAP1"
"C1orf112",43.3021896556703,-0.939583430128784,0.374261397308822,-2.5105005135047,0.012056014679145,0.0357566913514908,"C1orf112"
"GPR146",5.7471320472613,-0.939602217672667,0.887350990945674,-1.05888450822747,0.289652380375953,0.430997579945037,"GPR146"
"PLCG1",656.762259789599,-0.939941887172801,0.2195802675344,-4.28063002986161,1.86364958507662e-05,0.000131324691194933,"PLCG1"
"CYC1",684.561144900466,-0.939994765627119,0.2188010485511,-4.29611636622293,1.7381636542664e-05,0.000123166024211585,"CYC1"
"CCDC19",21.6207391306315,-0.940181027131583,0.488687818549205,-1.92388881294965,0.0543685217831538,0.119293034223721,"CCDC19"
"PIF1",40.0562783300217,-0.94075184294733,0.378718402201626,-2.48404048358464,0.012990103928798,0.0379207840648315,"PIF1"
"TP53RK",376.686172281352,-0.940809234370894,0.213623029195499,-4.40406279189078,1.06242169914576e-05,7.98035719403348e-05,"TP53RK"
"SOX9",81.7701470026377,-0.940980504308125,0.322006623478162,-2.92223959291303,0.00347524091722208,0.0126590937085148,"SOX9"
"FASN",777.120745968168,-0.941479781437784,0.235366022117784,-4.00006667473285,6.33246398567219e-05,0.000389933529559271,"FASN"
"ZNF215",78.165921047388,-0.941862600945755,0.306443540154968,-3.07352734689548,0.00211544298097484,0.00829381738385902,"ZNF215"
"GPSM3",24.7026907606369,-0.941921193940238,0.468637511633944,-2.009914209932,0.0444402695300448,0.101840278188118,"GPSM3"
"XRCC6BP1",45.5221854690384,-0.942739326192802,0.355093606744499,-2.65490368817351,0.00793310549141076,0.0252567057446257,"XRCC6BP1"
